"A[0,1]",b[0],x
0.4957522282702851,-0.5032300245871201,"[-0.6832463639943526, -0.493300743096333]"
0.2052199902448979,-0.7639247016006927,"[-1.61808133843232, -0.7373734975346229]"
0.3658883141137583,-0.9341008161975354,"[-1.513844214180782, -0.9865409469042894]"
0.21953516347080818,-1.1214132949092968,"[-2.353295850892858, -1.0497741467398374]"
0.5114470006795112,-1.0333913033637567,"[-1.302675487462136, -1.056223152493874]"
0.4006714982194279,-1.1991986922383373,"[-1.825210784066988, -1.2683188494488997]"
0.38237836239452083,-0.9291741894442065,"[-1.462824645212833, -0.9816272988902364]"
0.6928647494146986,-0.42398184292768054,"[-0.5030462353380672, -0.3370499125212387]"
0.33176220693551267,-0.3872828025649642,"[-0.6526819396293903, -0.42252947210275454]"
0.2909987191241152,-1.0286207523023574,"[-1.906688176714658, -1.054142642601828]"
0.6118226701890016,-0.5374691087584935,"[-0.6389837727976858, -0.48306757315920296]"
0.6564891298550393,-1.2695376930693716,"[-1.2572826328500786, -1.2087544274795232]"
0.3079765569650563,-0.5778027246829905,"[-1.0238940750481569, -0.617447327701241]"
0.7133078474186126,-0.725910788384059,"[-0.7344690793235396, -0.6278392196807008]"
0.2425572842242683,-0.7891549021048712,"[-1.576331275029778, -0.7930515955247303]"
0.4231135618643196,-0.608819705988918,"[-0.9013652787002646, -0.6323725984644148]"
0.3713932909529571,-0.36905768400506955,"[-0.5900451274424231, -0.39222118939018114]"
0.5626543672465504,-0.5576150321808311,"[-0.6931129277705471, -0.5246639654460046]"
0.4649862955568926,-1.3043382211786654,"[-1.7643433507460322, -1.3685628689882854]"
0.3451592798308588,-0.5173397884695317,"[-0.8619904764709424, -0.5533462488302782]"
0.3594803512285232,-0.5506297571746559,"[-0.8984236179864046, -0.5855371798484931]"
0.39956909725587636,-1.0420018500183688,"[-1.5906144874004176, -1.1006853287365441]"
0.4267995258963059,-1.0909615028060509,"[-1.5858503832554058, -1.1493995309135745]"
0.5582750537685527,-0.7037022320095792,"[-0.8540077740576459, -0.6813439447027286]"
0.30274768319327483,-0.9377705282039832,"[-1.6991929816897458, -0.9726284380771308]"
0.7227144313963122,-0.9782743445492207,"[-0.9221330878983895, -0.8705476540380412]"
0.2687096297451939,-0.6281466842146766,"[-1.1906256360494214, -0.6601147913181786]"
0.3790407381718689,-0.6779831093010633,"[-1.0736939011060358, -0.7162441141441535]"
0.42625366884190247,-0.82440386880607,"[-1.2057910016305666, -0.8630891317821797]"
0.3862105020111786,-1.014879627753681,"[-1.5866993469071398, -1.0723682490163975]"
0.3914606467372669,-0.6959735739315294,"[-1.0801451592034328, -0.7332377989281396]"
0.2694120801236809,-0.9406201686157752,"[-1.806295486533025, -0.9530454166605967]"
0.47341653255710786,-0.6865170808705505,"[-0.9389419100804897, -0.6992497894481755]"
0.2514819255041368,-1.1100255644743338,"[-2.2080940572182164, -1.089730739841648]"
0.7189478846186365,-1.292497135990004,"[-1.1700543390926663, -1.1816127002851695]"
0.6229150286243034,-0.7935449714690513,"[-0.8735024187919823, -0.7430217524207136]"
0.4893579355215964,-0.6143671573671958,"[-0.8273225593931565, -0.6153884903263478]"
0.5848395437577247,-1.1068098532217283,"[-1.236644959100347, -1.0919570609030027]"
0.6113569880072003,-0.5057439351091119,"[-0.6086671259396905, -0.45031681109880983]"
0.5428263422890091,-0.5742389800311103,"[-0.727306082323701, -0.5506051710312416]"
0.5499420860596467,-0.45760616626269035,"[-0.5932813428559383, -0.4236656644988523]"
0.23126938466205313,-1.0150221917252369,"[-2.0834750665888535, -0.9781865153734361]"
0.5547019815487407,-0.980341313531218,"[-1.1585552376864794, -0.9765886679347381]"
0.5087475239767605,-0.9132469590648112,"[-1.1644229424926555, -0.9285545461670112]"
0.7031615848450504,-1.1542702772589986,"[-1.0848216081808686, -1.0574524536959315]"
0.5441590825546525,-1.058899116388829,"[-1.26467247906471, -1.066044506090333]"
0.424670617830918,-0.45446451287369677,"[-0.6775573181684583, -0.4661101531837138]"
0.4854604615784573,-0.9840487829731738,"[-1.2975544300119384, -1.015115548520641]"
0.37149301922561995,-0.48039669112108035,"[-0.7690860461268263, -0.5093579094537753]"
0.36029233855222265,-0.45631050831518083,"[-0.7419624470456236, -0.48684255472516785]"
0.2724461341879826,-0.6505191136708395,"[-1.2272795514722754, -0.6822434043850584]"
0.5106749682037436,-0.932120931811637,"[-1.1834397872520348, -0.947910329434345]"
0.4307392825998472,-0.9401378081271222,"[-1.360987805764791, -0.9863780990818852]"
0.49696239341906895,-0.6903978482299413,"[-0.9123550853801382, -0.6941830356974437]"
0.4102933762096309,-0.7388159831019441,"[-1.1114623806428265, -0.7751028248084314]"
0.24682800479462896,-0.41987923958115414,"[-0.8052296830595567, -0.4659972499462926]"
0.4457288049596216,-1.1043904048813609,"[-1.5522702996499724, -1.1592371738317282]"
0.3098004608363808,-0.9217703714919632,"[-1.6490218623625097, -0.9601518595034493]"
0.3763100640202512,-0.6035251098271599,"[-0.9598893773581959, -0.6380741896070335]"
0.6603280952964848,-0.6756164899635895,"[-0.7322120381636903, -0.603340896097409]"
0.5464784522966846,-0.8162922651101496,"[-0.9918196856944491, -0.8066049069859076]"
0.6911324011786061,-0.7489673624407869,"[-0.7699750964354082, -0.6618946159370265]"
0.4175282270666805,-1.0977049963747074,"[-1.6220268189255465, -1.1582698925855155]"
0.30284843229054836,-0.9427288665007031,"[-1.7080726549916152, -0.9775765528057666]"
0.48167052637189106,-0.8492771438207428,"[-1.1344810103856853, -0.8714794030955061]"
0.4630604390115953,-1.2024587074271313,"[-1.6357244671926412, -1.2593997461512656]"
0.4549358796176878,-0.4404811423151334,"[-0.633959200384233, -0.440646796056106]"
0.47313902379455125,-1.1328979741847691,"[-1.5169467110782295, -1.1805967165889981]"
0.7224604170336488,-1.2885199348768197,"[-1.161483865227118, -1.1748539924308095]"
0.29787244842548766,-0.7106639694600095,"[-1.2891647758020965, -0.7472658101348258]"
0.30948100832620723,-0.4773508887121397,"[-0.837854847160597, -0.5174510803930095]"
0.42328063711457037,-0.8807920114835884,"[-1.2929817344631638, -0.9243817496263685]"
0.5044711892138002,-0.879538446375404,"[-1.1315055175279705, -0.8943102478078133]"
0.4435545124042574,-0.5383775147402491,"[-0.7775417083788154, -0.5501071033047272]"
0.40825999361046744,-0.8126834602583238,"[-1.2250436297293918, -0.8545669738566342]"
0.2311283620089408,-1.0045110233647654,"[-2.061721063488484, -0.9689396174695556]"
0.6460249870412925,-1.0020306108804489,"[-1.0364977544153087, -0.9436408128288649]"
0.47185415462352026,-1.085123416416149,"[-1.4583314449672258, -1.1295935063126754]"
0.35936390914159355,-0.8862456728368373,"[-1.4524042505360961, -0.9360139942433069]"
0.3636567687904412,-0.9785487114355856,"[-1.5925044187386308, -1.0329277740529013]"
0.21385199157110954,-0.5772265104544678,"[-1.1896647935250138, -0.5930398528071323]"
0.7231917664832664,-0.9427765782242484,"[-0.8943004791315468, -0.8354587838559074]"
0.561464475331786,-0.6456567469481221,"[-0.7883178657186474, -0.6183861253766219]"
0.41078435342806685,-1.0573410667630267,"[-1.5819530299672557, -1.115958433850945]"
0.572836569615907,-0.5527417484307802,"[-0.6803581003158601, -0.5152606234588194]"
0.5339459019348103,-0.4129847828715511,"[-0.5518999403677393, -0.3821306104142496]"
0.6831004492584626,-0.9709644737652909,"[-0.9615330612946417, -0.8884942081635182]"
0.32433844000295053,-0.950682633506912,"[-1.6586227204389812, -0.9950497913929596]"
0.4936031140402304,-0.4775352211347331,"[-0.6531676833979689, -0.4664635095388496]"
0.20482993767192062,-1.214781880229569,"[-2.6154878244584516, -1.0963524792439339]"
0.38468470257333215,-0.5993133798610287,"[-0.9408582615862005, -0.631964665681446]"
0.32641738946624715,-1.2220070341004003,"[-2.1317124379965824, -1.2712157270773072]"
0.531052412742624,-0.8307856035296125,"[-1.0307031651516485, -0.8296062041591173]"
0.5459349285794753,-0.6104137222740434,"[-0.7647015676695652, -0.5877988035346264]"
0.4873912792511435,-0.7058659660018393,"[-0.9443535363771571, -0.7146957284274402]"
0.6057093598029649,-0.712619256446803,"[-0.8136888267390266, -0.6679093373890695]"
0.5716370239672343,-0.7576506034185251,"[-0.8960233542389346, -0.7319657506355693]"
0.5969727350928057,-0.913900068649327,"[-1.0224052557889558, -0.8824865133469618]"
0.3692145140431469,-1.2710302178406925,"[-2.0496251119850544, -1.340814375155977]"
0.2819548813466916,-0.5775699135328825,"[-1.06747930673765, -0.6150815208671567]"
0.6813345729649795,-1.0565754018384301,"[-1.0352416659335915, -0.9754912009435354]"
0.5110671380309398,-0.8753096578023288,"[-1.1149571599888106, -0.886752620118206]"
0.32697294814636474,-0.49809670401051254,"[-0.8524829732828262, -0.5362797791218468]"
0.6839549777531468,-0.9870808599052704,"[-0.9739108197792079, -0.9040960591414093]"
0.36309734408286454,-1.0397364603336985,"[-1.6942746612600543, -1.0969207487537183]"
0.6428401880011314,-0.6249045258199664,"[-0.7000645017965533, -0.5598001034948521]"
0.4511225786507881,-1.1332286493647628,"[-1.576799428063921, -1.1887168010828577]"
0.7011365881304855,-1.2013143597058495,"[-1.1255273471973253, -1.105623315013424]"
0.21802810894806984,-1.261107369991766,"[-2.661207397203309, -1.1630702357865392]"
0.24073475525282062,-1.287510412190377,"[-2.6179134252404803, -1.2311309954142624]"
0.45207275010644016,-0.7259403294447293,"[-1.0226364204213545, -0.7493775334647769]"
0.23894107267343564,-0.6588527414583902,"[-1.3137795391499871, -0.675729627838789]"
0.5464925749917245,-0.39964535276161817,"[-0.531158460659159, -0.36331748263101193]"
0.5584652150069392,-1.1894902631780215,"[-1.377394647599545, -1.1961580547715696]"
0.444294831506872,-1.1512533716120914,"[-1.6207174382415963, -1.21012994465005]"
0.7146701211474997,-0.9546955677574624,"[-0.9125066103181095, -0.852453615186077]"
0.33212329139024743,-1.1838154791396276,"[-2.042873327203731, -1.2356543569619935]"
0.719630314277925,-0.9439443690910087,"[-0.8988899505578319, -0.8388017235769442]"
0.41343660891570133,-1.0054275702437658,"[-1.4981336225993493, -1.0599897066490942]"
0.24191441797878152,-0.42596741199261323,"[-0.8239502808511248, -0.47133099677889223]"
0.6942401531150935,-0.6367490045334951,"[-0.6760274810722754, -0.5485230915921823]"
0.4874499724846685,-0.5097414391489166,"[-0.6981934381100167, -0.5034515390924631]"
0.5989677507286302,-1.2997896890911718,"[-1.4015162114203557, -1.284175542265723]"
0.6472693002092559,-0.43900624273851147,"[-0.5304131802839666, -0.36799730473442394]"
0.48253104518506346,-1.2738625063801263,"[-1.6713489282046616, -1.328608153511148]"
0.3902682030038488,-0.7054301890595397,"[-1.096852689453737, -0.7435013527169956]"
0.31387255235318007,-0.4866788247989957,"[-0.84914957073081, -0.5263062416423028]"
0.538065161571613,-1.0888745671363913,"[-1.3106956480777001, -1.1014446909088396]"
0.443818622497454,-1.2324082652288773,"[-1.733955450351781, -1.2976873056090565]"
0.24531145924963363,-0.45795399643182944,"[-0.8856763668508454, -0.49993234660030056]"
0.26010343504171785,-1.0769893396693972,"[-2.1092926479797587, -1.0704098715072456]"
0.35498724954402217,-0.676252290986515,"[-1.113865970102597, -0.7170562931642505]"
0.7139247891199041,-0.9048495602076102,"[-0.8742461964351739, -0.8038134901485251]"
0.5721523578853859,-0.6309982946312119,"[-0.7627981462244786, -0.598101304789819]"
0.5737637471789735,-1.177235312222362,"[-1.3313584950613846, -1.1732823279743145]"
0.354027703091649,-0.7450505419796858,"[-1.2304246947227595, -0.7886821030115511]"
0.21700425899034642,-0.7548708300451448,"[-1.568726883511394, -0.7417152177428347]"
0.6886286776155706,-0.7242538995355021,"[-0.7516526272134036, -0.6384865779003547]"
0.3877335888096834,-0.6867610394765704,"[-1.072367678352559, -0.7241202342478784]"
0.43224743476289434,-0.7447551782942914,"[-1.0813675268543914, -0.7758347508227821]"
0.39409819629728543,-0.8153252526900219,"[-1.2585814317482402, -0.8597602985080545]"
0.6124464311281091,-0.43220115246293705,"[-0.5372959278629107, -0.37355508652198594]"
