"A[0,1]",b[0],x
-2.834266722028219,-1.0034565130081774,"[-0.6610776840717077, 0.22745500058965784]"
-3.5007477542100767,-1.2200925734258874,"[-0.6356487327068259, 0.24997668506417225]"
-3.5466571696606075,-0.9027927578106008,"[-0.6133960791828295, 0.16068165458148748]"
-2.21995928015161,-1.3902194691387941,"[-0.7817994488901353, 0.4351032350965229]"
-2.6071178812274116,-0.7801939874190827,"[-0.6549571977021421, 0.16291070061987645]"
-2.5699215005148317,-1.2716328412371183,"[-0.7145379078665763, 0.3439131754266024]"
-2.9947530664093365,-1.1899249070272027,"[-0.6658245295689004, 0.27667064597522883]"
-3.3109314579638878,-0.7776971539034071,"[-0.6149304125279114, 0.13408746495515772]"
-2.4382406929077387,-1.2279986290249738,"[-0.7255334469796912, 0.34214342215170873]"
-2.971432809310685,-1.3171700200435297,"[-0.678803730429492, 0.3192941602933503]"
-2.4082704076538413,-1.0052656116053922,"[-0.7004276291952181, 0.2595724880707215]"
-2.0531916090306077,-0.8657264587799629,"[-0.7235211372282186, 0.23039641714661457]"
-3.600394564046007,-0.8316954541048831,"[-0.6069170683204955, 0.13951298932854717]"
-3.33243546286402,-1.034787134075756,"[-0.632139548169268, 0.20756723897809107]"
-3.7815902668750545,-1.360609038679287,"[-0.6297581951000755, 0.2694097531720517]"
-3.529920997670007,-1.3593285666661592,"[-0.6428913793161904, 0.2862416730378742]"
-3.7298088153755953,-0.9266335396784783,"[-0.6076822305297208, 0.16001480109876529]"
-1.9583309330965188,-0.8870268431419439,"[-0.7414445040089027, 0.2474662336853579]"
-2.2434793090335,-1.4035550652565252,"[-0.7795447924513437, 0.4370313254814832]"
-2.584496677451247,-0.9129196091239472,"[-0.6718233158383463, 0.2121493270815796]"
-2.4356531706882794,-0.766699106435111,"[-0.6669537512693645, 0.16616552980353405]"
-3.62685271443404,-1.1186985688798827,"[-0.6231266707729815, 0.21520240998479317]"
-3.4655351112974593,-0.8902148215122773,"[-0.6159861640945105, 0.16040786336018362]"
-3.7683947024192177,-1.205586195966687,"[-0.6217787897885025, 0.23037040420372795]"
-3.0920705289252393,-0.9388327913005744,"[-0.6382088930188404, 0.1916049614180529]"
-2.448824226805004,-1.4061246465343038,"[-0.7466901463155518, 0.408715167073374]"
-3.624598358394782,-0.9933744844373447,"[-0.6157166209646117, 0.18186981570726282]"
-2.7766841412899366,-1.0604320048287676,"[-0.671235030683331, 0.2507058321197107]"
-3.2921080529582714,-0.8030658210672825,"[-0.617574911969707, 0.14212407660390253]"
-2.159372680981239,-0.8356507019401337,"[-0.7047835146387061, 0.20984879320925123]"
-2.1161263626141134,-1.3209885787926516,"[-0.790404745172796, 0.4215297421007515]"
-2.677036399532556,-1.5024285455176605,"[-0.7272057735705637, 0.4137972518249181]"
-2.8148640373184386,-1.4238010926923497,"[-0.7034661638625819, 0.3701802635173777]"
-2.801566937679288,-1.4283214776083901,"[-0.7053076393824839, 0.373194034117037]"
-2.7930487236313737,-0.7889924651792207,"[-0.6430721756178489, 0.15752545348457903]"
